O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,state_city,constituency_from_link
1,PREMENDRA VISHNU SHET,Bharatiya Janata Party,1191,1103,1000,689,772,953,995,933,Goa-Maem,Maem
2,PRAVIN ZANTYE,Maharashtrawadi Gomantak,381,448,392,187,366,740,353,373,Goa-Maem,Maem
3,SANTOSH KUMAR SAWANT,Goa Forward Party,688,481,428,695,525,700,557,539,Goa-Maem,Maem
4,RAJESH TULSHIDAS KALANGUTKAR,Aam Aadmi Party,277,130,359,294,203,213,335,242,Goa-Maem,Maem
5,SHRIKRISHNA RAVINDRA PARAB,Revolutionary Goans Party,400,414,596,521,521,356,513,612,Goa-Maem,Maem
6,DEEPKUMAR D. MAPARI,Independent,2,5,5,37,13,6,6,14,Goa-Maem,Maem
7,MILIND TULSHIDAS PILGAONKAR,Independent,249,206,185,138,750,289,248,217,Goa-Maem,Maem
8,ROHAN VAMAN SAWAIKAR,Independent,34,44,27,49,53,47,121,83,Goa-Maem,Maem
9,SHEELA SANDEEP GHATWAL,Independent,20,13,16,18,25,37,18,44,Goa-Maem,Maem
10,NOTA,None of the Above,37,31,23,23,40,60,37,80,Goa-Maem,Maem
