O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,state_city,constituency_from_link
1,Domacio Barreto,Nationalist Congress Party,32,18,24,26,52,19,3,Goa-Sanguem,Sanguem
2,Prasad Shashikant Gaonkar,Indian National Congress,599,729,740,634,1086,462,256,Goa-Sanguem,Sanguem
3,Rakhi Naik,All India Trinamool Congress,32,24,20,19,22,39,25,Goa-Sanguem,Sanguem
4,Subhash Uttam Phal Dessai,Bharatiya Janata Party,1161,1084,1460,1400,1587,1235,412,Goa-Sanguem,Sanguem
5,Abhijit Dessai,Aam Aadmi Party,68,106,70,117,125,346,46,Goa-Sanguem,Sanguem
6,Sunil Bombi Gaonkar,Revolutionary Goans Party,275,339,265,354,150,61,35,Goa-Sanguem,Sanguem
7,Ramesh Gopal Velingkar,Independent,9,4,10,13,17,36,4,Goa-Sanguem,Sanguem
8,Savitri Chandrakant Kavlekar,Independent,1298,1285,1082,1073,1063,1059,225,Goa-Sanguem,Sanguem
9,NOTA,None of the Above,37,42,39,40,44,30,8,Goa-Sanguem,Sanguem
