O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,SANTOKH SINGH BHALAIPUR,Indian National Congress,1583,1597,2934,1704,2047,2044,2075,2032,1898,1815,1997,1691,1444,1639,2337,2303,1568,138,Punjab-Baba Bakala,Baba Bakala
2,DALBIR SINGH TONG,Aam Aadmi Party,2897,3312,2537,3083,3370,3175,4374,2844,3203,2691,3890,3295,2641,2752,2755,2884,2096,242,Punjab-Baba Bakala,Baba Bakala
3,BALJIT SINGH JALAL USHMAN,Shiromani Akali Dal,1446,1948,1122,2533,1378,1915,1898,1700,2320,2824,1847,1951,1650,1821,1631,1465,1336,130,Punjab-Baba Bakala,Baba Bakala
4,MANJIT SINGH MANNA,Bharatiya Janata Party,143,102,265,203,346,388,256,378,205,156,395,296,206,656,735,271,274,38,Punjab-Baba Bakala,Baba Bakala
5,ANGREJ SINGH,Bahujan Samaj Party (Ambedkar),27,56,36,33,19,52,30,43,46,46,31,110,35,51,56,40,32,4,Punjab-Baba Bakala,Baba Bakala
6,HARPREET SINGH,Lok Insaaf Party,9,19,11,27,19,48,12,18,13,28,13,12,5,11,10,11,13,1,Punjab-Baba Bakala,Baba Bakala
7,DILBAG SINGH,Sanjhi Virasat Party,15,12,6,22,13,18,13,4,10,14,10,16,9,17,15,13,5,0,Punjab-Baba Bakala,Baba Bakala
8,NATHA SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),243,410,162,406,200,161,263,234,259,365,178,340,164,234,211,246,168,54,Punjab-Baba Bakala,Baba Bakala
9,GURNAM KAUR,Independent,117,143,43,369,130,57,87,236,159,375,186,178,102,60,64,56,150,2,Punjab-Baba Bakala,Baba Bakala
10,JASBIR KAUR BEERO,Independent,32,27,19,24,24,34,21,22,33,33,33,31,31,23,56,28,37,2,Punjab-Baba Bakala,Baba Bakala
11,NOTA,None of the Above,50,64,58,66,54,63,61,43,56,52,57,66,45,35,60,47,45,5,Punjab-Baba Bakala,Baba Bakala
