O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,ARUN DOGRA,Indian National Congress,2583,1867,1889,2187,2508,2023,2518,1834,2336,2257,1761,2065,2322,2183,1557,2528,Punjab-Dasuya,Dasuya
2,SUSHEEL KUMAR SHARMA,Bahujan Samaj Party,1814,1935,1306,2041,951,1048,1770,1754,1360,1173,1012,1148,1334,1457,1523,985,Punjab-Dasuya,Dasuya
3,KARAMBIR SINGH,Aam Aadmi Party,2670,1851,2517,3606,3625,3762,3755,3883,3252,1779,2034,2071,1781,1998,2145,1888,Punjab-Dasuya,Dasuya
4,RAGHUNATH SINGH RANA,Bharatiya Janata Party,309,423,653,130,1188,673,270,988,1400,2997,3618,2568,2725,2750,1830,2728,Punjab-Dasuya,Dasuya
5,SUKHWINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),594,660,418,359,102,193,500,263,130,43,37,19,18,15,28,24,Punjab-Dasuya,Dasuya
6,BABBU SINGH BAAZ,Punjab Kisan Dal,25,36,21,24,14,32,31,15,20,14,8,19,14,23,25,28,Punjab-Dasuya,Dasuya
7,JANAK RAJ,Independent,54,25,28,20,42,37,56,58,57,35,38,40,39,42,43,55,Punjab-Dasuya,Dasuya
8,BALKAR SINGH,Independent,12,38,15,11,9,13,8,22,18,11,17,20,23,14,18,15,Punjab-Dasuya,Dasuya
9,RAM LAL SANDHU,Independent,74,66,53,53,56,49,76,80,57,42,81,194,28,54,33,28,Punjab-Dasuya,Dasuya
10,LAKHBIR SINGH,Independent,28,40,23,31,19,22,25,28,24,17,13,31,32,29,22,17,Punjab-Dasuya,Dasuya
11,NOTA,None of the Above,61,34,30,52,48,50,42,40,53,33,67,66,53,72,54,55,Punjab-Dasuya,Dasuya
