O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,state_city,constituency_from_link
1,Anmol Gagan Maan,Aam Aadmi Party,3455,3073,2649,2562,3879,3046,3710,3626,3348,3311,3528,3378,3003,2746,3776,4048,3866,4029,3555,3735,4014,3588,2142,Punjab-Kharar,Kharar
2,Kamal Deep Singh Saini,Bharatiya Janata Party,143,1265,1176,1020,625,216,259,701,315,519,989,141,1070,961,91,540,683,834,920,589,877,488,788,Punjab-Kharar,Kharar
3,Ranjit Singh Gill,Shiromani Akali Dal,2265,1703,1608,1349,2348,2678,2219,1976,2345,1859,1270,2267,1740,1901,2255,1267,923,1287,1753,1487,1252,1926,671,Punjab-Kharar,Kharar
4,Vijay Sharma Tinku,Indian National Congress,1001,975,1070,613,1345,1356,1064,843,1071,800,758,1157,1362,1588,1181,1245,1389,1189,895,1006,1289,1257,811,Punjab-Kharar,Kharar
5,Amandeep Prajapati,Samaj Adhikar Kalyan Party,14,10,8,15,14,14,6,13,8,23,4,9,6,16,15,7,5,4,8,11,3,9,5,Punjab-Kharar,Kharar
6,Bhupinder Singh Mehton,Samajwadi Party,16,26,12,24,10,9,13,3,13,7,11,11,12,15,19,7,12,13,6,10,13,11,7,Punjab-Kharar,Kharar
7,Rupinder Kaur,Punjab National Party,5,1,6,4,4,9,1,3,2,5,1,5,1,7,3,1,13,6,4,2,5,4,1,Punjab-Kharar,Kharar
8,Lakhvir Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),265,19,19,43,237,455,659,586,484,401,140,749,175,206,800,342,212,165,150,169,349,403,165,Punjab-Kharar,Kharar
9,Sunaina,Independent,24,5,4,6,11,8,9,9,10,7,4,12,7,4,14,4,5,4,3,2,6,8,6,Punjab-Kharar,Kharar
10,Kapil Dev Sharma,Independent,135,10,16,21,85,21,3,12,42,9,0,14,6,7,10,7,15,2,23,2,11,11,1,Punjab-Kharar,Kharar
11,Kulbir Singh Bisht,Independent,15,204,265,400,11,7,7,8,3,4,22,12,5,4,5,16,9,10,14,15,20,12,2,Punjab-Kharar,Kharar
12,Jaswinder Singh Jassi,Independent,25,33,12,16,22,14,11,13,21,12,9,6,8,11,11,14,20,6,18,6,16,14,2,Punjab-Kharar,Kharar
13,Jasvir Chander,Independent,27,18,35,29,32,27,28,27,11,27,15,46,31,27,33,45,33,37,70,57,35,23,20,Punjab-Kharar,Kharar
14,Paramdeep Singh Baidwan,Independent,126,50,68,49,205,118,394,350,242,182,88,276,122,71,430,253,148,186,113,98,189,134,78,Punjab-Kharar,Kharar
15,Baljeet Singh Ladi,Independent,19,8,8,12,31,19,21,33,32,22,13,18,17,15,17,13,10,4,4,9,6,20,5,Punjab-Kharar,Kharar
16,Manbir Singh,Independent,101,35,50,46,151,37,87,82,75,38,27,75,32,20,65,45,37,43,28,34,35,57,32,Punjab-Kharar,Kharar
17,Mohan Singh,Independent,37,34,21,21,34,35,46,48,20,32,4,36,28,18,52,25,10,24,16,15,18,36,14,Punjab-Kharar,Kharar
18,NOTA,None of the Above,24,46,38,34,37,22,28,26,17,36,41,22,38,47,32,28,31,39,44,29,38,22,15,Punjab-Kharar,Kharar
