O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,state_city,constituency_from_link
1,SARVAN SINGH DHUN,Aam Aadmi Party,3440,4385,3554,3739,3797,3502,2097,2935,3488,2700,3655,3090,2984,3474,3098,3175,3044,2553,2958,2151,192,Punjab-Khem Karan,Khem Karan
2,SUKHPAL SINGH BHULLAR,Indian National Congress,1461,1240,1607,1119,1556,1363,2037,2035,1721,1208,1379,1362,1513,1067,1751,1259,1198,1350,1603,755,189,Punjab-Khem Karan,Khem Karan
3,Virsa Singh Valtoha,Shiromani Akali Dal,2493,2135,2886,2960,2017,2258,2298,2540,3193,2528,2801,2468,2488,2755,3106,2906,3199,2669,2397,2201,201,Punjab-Khem Karan,Khem Karan
4,Ajay Kumar CHINNU,Aas Punjab Party,39,25,14,22,23,33,10,16,32,12,21,16,19,29,20,13,20,22,19,14,1,Punjab-Khem Karan,Khem Karan
5,INDERJEET SINGH DHOLAN,Bahujan Mukti Party,5,7,3,5,6,7,6,9,3,9,3,7,4,7,8,4,5,6,6,4,0,Punjab-Khem Karan,Khem Karan
6,SHINGARA SINGH,Nationalist Justice Party,8,5,7,4,5,9,3,11,5,7,11,7,28,5,3,7,1,5,7,3,0,Punjab-Khem Karan,Khem Karan
7,HARPAL SINGH BALER,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),88,209,127,130,135,333,138,136,149,176,195,200,239,202,103,114,245,106,83,132,9,Punjab-Khem Karan,Khem Karan
8,JAIMAL SINGH,Bahujan Samaj Party (Ambedkar),6,4,4,6,3,5,35,7,5,5,7,6,4,3,9,9,10,4,11,8,0,Punjab-Khem Karan,Khem Karan
9,DALJIT SINGH GILL,Shiromani Akali Dal (Sanyukt),21,10,19,7,36,43,7,15,8,10,25,11,12,10,47,29,31,9,43,14,1,Punjab-Khem Karan,Khem Karan
10,PAWAN KUMAR,Revolutionary Socialist Party,20,5,6,5,6,7,7,5,5,7,9,8,5,8,3,11,5,6,23,7,2,Punjab-Khem Karan,Khem Karan
11,ANGREJ SINGH,Independent,4,5,7,11,10,6,6,8,8,10,12,4,7,12,8,6,7,2,16,7,0,Punjab-Khem Karan,Khem Karan
12,SURJIT SINGH,Independent,26,28,22,34,33,17,23,19,26,26,33,38,28,25,30,21,23,16,32,24,1,Punjab-Khem Karan,Khem Karan
13,SURJIT SINGH BHURA,Independent,36,37,65,34,25,26,39,39,27,48,61,35,45,40,57,55,34,76,207,55,12,Punjab-Khem Karan,Khem Karan
14,GURSHARAN SINGH,Independent,29,33,18,31,27,30,52,47,24,37,46,30,38,34,43,32,26,20,40,17,2,Punjab-Khem Karan,Khem Karan
15,NOTA,None of the Above,108,100,80,94,88,88,58,109,77,97,127,78,98,115,65,109,157,60,68,51,3,Punjab-Khem Karan,Khem Karan
