O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,state_city,constituency_from_link
1,DEVNATH YADAV,Communist Party of India,85,40,23,24,41,21,42,28,42,43,86,83,73,88,85,78,94,70,75,72,129,91,58,77,2,Uttar Pradesh-Banda,Banda
2,DHEERAJ PRAKASH,Bahujan Samaj Party,1396,777,960,1170,588,297,1150,637,365,313,470,4377,2519,1832,1469,1672,1416,2173,2786,2142,2614,2855,2768,1227,100,Uttar Pradesh-Banda,Banda
3,PRAKASH DWIVEDI,Bharatiya Janata Party,3941,3520,3627,3527,4495,4687,3699,3611,4243,4118,4946,2858,3177,2640,1965,3129,2802,3245,2272,2988,3148,2490,2887,2835,281,Uttar Pradesh-Banda,Banda
4,MANJULA SINGH,Samajwadi Party,3110,2649,2242,2169,2349,2522,3167,3550,4262,4077,3272,2193,1998,3134,2611,2739,3348,2090,2483,2359,2837,1643,2061,2331,233,Uttar Pradesh-Banda,Banda
5,LAXMINARAYAN,Indian National Congress,89,61,85,68,79,111,103,115,94,112,146,54,57,46,61,87,88,56,52,51,84,48,70,57,5,Uttar Pradesh-Banda,Banda
6,GULAB CHANDRA KUSHWAHA,Bhartiya Shakti Chetna Party,34,19,28,25,32,10,81,20,20,11,37,53,138,51,52,46,41,40,55,35,59,25,38,37,3,Uttar Pradesh-Banda,Banda
7,RAM PRASAD SINGH,Aam Janta Party (India),59,12,16,20,16,7,26,31,18,34,38,67,52,45,37,55,44,45,58,30,68,26,58,48,3,Uttar Pradesh-Banda,Banda
8,HANUMAN DAS,Jan Adhikar Party,46,35,25,22,32,21,46,13,30,28,38,61,261,294,469,451,290,276,329,35,331,407,154,53,3,Uttar Pradesh-Banda,Banda
9,NOTA,None of the Above,122,39,44,34,42,46,59,45,47,60,108,101,84,89,126,111,122,99,120,64,169,69,97,79,11,Uttar Pradesh-Banda,Banda
