O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AJEET KUMAR URF RAJU YADAV,Bharatiya Janata Party,3939,2851,3442,2412,3168,3350,2693,3442,3364,3895,3849,2586,3540,2873,3190,4100,3006,2976,2773,2759,1590,2568,2194,2185,1630,2471,2661,2539,2151,2292,2092,2203,1841,1629,Uttar Pradesh-Gunnaur,Gunnaur
2,FIROZ,Bahujan Samaj Party,663,1097,686,424,600,509,187,577,535,386,560,292,316,833,487,257,402,451,380,306,459,697,268,202,564,510,342,362,386,252,365,181,217,294,Uttar Pradesh-Gunnaur,Gunnaur
3,Ramkhiladi Singh,Samajwadi Party,2813,3110,2481,3636,3508,4435,3680,3814,3118,3631,2290,4297,3423,3626,3312,2177,3778,2527,3421,3800,4013,3351,4717,3996,4297,3792,3755,3783,4015,3679,4047,4539,3792,4720,Uttar Pradesh-Gunnaur,Gunnaur
4,Vijay Sharma,Indian National Congress,47,54,32,60,54,126,53,51,45,44,24,33,51,34,38,17,38,26,57,72,76,35,50,55,67,51,55,42,62,60,54,37,32,60,Uttar Pradesh-Gunnaur,Gunnaur
5,ANIL KUMAR,Aazad Samaj Party (Kanshi Ram),13,13,11,19,9,23,33,26,12,11,21,18,7,8,10,5,16,34,19,9,5,82,24,13,6,24,15,14,12,8,11,16,12,8,Uttar Pradesh-Gunnaur,Gunnaur
6,VIJAY KUMAR,Aam Aadmi Party,7,11,9,15,15,16,14,9,13,5,12,13,9,9,15,9,15,3,9,36,5,11,16,8,77,9,22,16,19,11,15,19,11,34,Uttar Pradesh-Gunnaur,Gunnaur
7,Ramkhiladi,Independent,31,22,17,26,33,42,46,37,19,17,27,31,20,31,27,14,31,12,33,22,32,29,47,35,38,25,32,34,37,36,27,24,19,39,Uttar Pradesh-Gunnaur,Gunnaur
8,Lakhvendra Urf Akhilesh Yadav,Independent,26,16,8,24,23,29,45,31,30,27,23,29,14,27,20,10,30,8,22,21,14,26,24,18,27,27,19,26,23,26,26,29,10,31,Uttar Pradesh-Gunnaur,Gunnaur
9,Hari Singh,Independent,14,19,8,25,21,28,25,41,17,21,22,22,14,21,20,8,10,10,22,13,6,20,30,20,17,14,15,23,31,23,28,19,9,17,Uttar Pradesh-Gunnaur,Gunnaur
10,NOTA,None of the Above,103,77,54,51,76,117,133,118,81,100,88,80,73,74,54,69,69,38,93,53,49,77,113,62,76,97,64,61,96,59,66,61,43,73,Uttar Pradesh-Gunnaur,Gunnaur
