O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,Anil Pandey,Bahujan Samaj Party,674,138,298,361,339,544,535,440,486,395,538,410,351,429,475,334,311,387,275,282,613,378,339,292,322,244,78,28,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
2,Dilpreet Singh Virk,Indian National Congress,188,139,208,110,228,227,222,189,319,207,319,303,390,333,407,433,266,289,317,123,163,162,149,197,276,170,96,18,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
3,Brajesh Pathak,Bharatiya Janata Party,3790,5110,4704,2505,4091,5229,4618,5308,5515,5105,5212,4365,4989,4476,4759,3616,4099,3088,3952,4321,3121,3810,3534,3485,3031,951,515,248,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
4,Surendra Singh Gandhi 'Raju Gandhi',Samajwadi Party,2447,2370,2553,2426,3255,2386,2946,1767,2022,1762,1929,2727,2164,2546,2450,2938,1940,1856,1854,3940,3818,3932,3095,3173,3783,1091,517,265,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
5,Ajay Kumar,Aam Aadmi Party,38,49,40,21,44,76,88,63,75,85,89,72,123,84,88,56,81,56,37,46,48,39,35,73,59,19,11,1,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
6,Ajay Kumar Singh,Rashtriya Rashtrawadi Party,6,4,4,3,7,4,6,4,2,8,8,6,5,4,7,7,15,4,2,6,2,6,5,8,8,5,3,1,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
7,Asheesh Saxena,Janata Dal (United),6,4,4,0,4,7,1,2,3,13,28,4,4,6,1,6,2,1,5,2,3,2,3,3,2,0,0,1,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
8,Rajni Kant Dubey,Samaj Sevak Party,5,5,6,4,8,12,4,5,8,2,5,11,8,9,19,5,1,7,7,7,8,10,5,2,10,3,2,0,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
9,Sachidanand Srivastava,Janta Brigade Party,27,15,9,16,24,23,16,14,19,8,16,19,11,11,17,7,9,10,10,11,8,10,3,14,26,8,2,0,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
10,Satyendra Kumar Tiwari,Rashtriya Jatigat Aarakshan Virodhi Party,17,10,11,7,13,9,14,3,7,7,6,5,5,9,5,1,2,5,5,10,9,5,10,7,7,0,2,0,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
11,Nigmendra Mishra,Independent,8,9,10,3,13,9,8,4,6,4,9,6,1,6,5,4,10,2,8,13,3,5,2,2,7,8,0,0,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
12,NOTA,None of the Above,50,56,56,31,40,55,53,75,61,53,51,39,68,42,55,52,49,37,43,45,38,23,33,38,39,6,10,3,Uttar Pradesh-Lucknow Cantt.,Lucknow Cantt.
