O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,state_city,constituency_from_link
1,AJAY SHANKAR DUBEY,Bharatiya Janata Party,3412,3186,1925,2285,2649,3072,3435,3851,2718,1706,2599,2030,2443,2655,2152,2380,3152,3098,2893,3051,2772,3075,3870,2652,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
2,DINESH KUMAR SHUKLA,Bahujan Samaj Party,997,668,1150,715,1262,1159,935,1020,719,1362,838,884,1116,954,1450,914,739,1163,708,902,1373,867,599,1015,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
3,PANKAJ,Samajwadi Party,1500,2371,2856,2789,2819,2738,1946,2185,3237,3067,2961,3994,3563,2806,2998,3372,3468,2778,3047,2825,2772,3245,2702,3392,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
4,PRAMOD KUMAR SINGH,Indian National Congress,50,54,64,49,48,85,87,57,94,69,62,83,40,50,65,55,50,53,44,66,50,55,52,55,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
5,AJAY KUMAR,Moolniwasi Samaj Party,10,1,3,2,4,9,6,6,7,6,6,7,1,1,8,12,6,3,6,13,5,2,6,6,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
6,JITENDRA KUMAR,Bharatrashtra Democratic Party,17,2,6,4,4,13,12,5,6,5,6,9,6,2,9,6,8,5,5,5,4,6,4,8,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
7,NEELAM KUMAR,Samaj Parivartan Party,4,3,1,3,2,4,3,2,4,2,13,5,6,0,13,9,4,3,3,4,4,5,0,0,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
8,MATTU LAL,Vikassheel Insaan Party,5,6,5,4,5,5,6,18,6,7,52,6,10,13,46,17,12,16,17,28,3,1,3,5,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
9,MADHAVENDRA PRATAP,Shiv Sena,7,3,2,3,9,4,3,3,5,12,10,18,9,5,7,9,22,10,7,9,6,32,5,3,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
10,MUSTAK AHAMAD,Log Party,4,4,2,6,4,3,5,4,3,6,6,14,5,5,8,8,8,6,4,8,4,4,4,4,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
11,RAMJAN ALI,All India Majlis-E-Ittehadul Muslimeen,20,21,7,33,16,14,13,12,26,167,19,59,61,11,87,29,24,20,17,66,12,35,33,3,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
12,VYANKTESH BAHADUR,Bhartiya Dharmanirpeksha Party,9,7,7,2,11,6,5,5,11,8,11,12,9,4,17,11,14,8,12,10,3,11,5,8,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
13,SUSHIL KUMAR,Moulik Adhikar Party,32,33,24,20,28,19,21,17,30,22,31,19,32,21,24,24,30,22,53,25,18,29,15,30,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
14,ANIL KUMAR,Independent,19,21,22,25,24,22,16,14,24,33,29,34,31,32,26,36,38,27,29,58,26,28,16,31,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
15,JYOTI PRAKASH,Independent,20,27,23,24,30,25,15,28,22,20,22,29,19,17,27,24,30,29,24,25,24,9,14,19,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
16,NOTA,None of the Above,44,43,29,25,36,42,33,45,42,39,37,24,36,26,37,47,46,45,39,62,44,37,22,35,Uttar Pradesh-Mungra Badshahpur,Mungra Badshahpur
