O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,DEVENDER NAGPAL,Bharatiya Janata Party,454,2116,3355,3806,4726,2243,3483,4019,3967,2736,3966,4249,2876,3907,3428,2123,4587,1661,551,429,2849,5370,4979,3026,3857,5697,4623,5388,4394,2195,25,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
2,REKHA RANI,Indian National Congress,45,69,70,57,73,48,60,52,72,42,42,85,49,58,61,53,54,29,81,36,26,81,34,31,67,48,49,45,47,37,2,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
3,SHADAB KHAN,Bahujan Samaj Party,245,1902,2567,1354,1854,1216,1837,1349,1584,850,704,332,469,957,712,105,220,87,433,203,1148,736,588,975,651,1265,1746,1013,835,586,3,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
4,SAMARPAL SINGH,Samajwadi Party,9368,3543,2597,2573,1830,4263,2983,3127,2225,5430,3165,2549,3973,2523,2851,6208,2241,6238,4662,8781,4181,1705,3928,4149,4060,1234,2556,1249,1932,1127,390,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
5,AJIT KUMAR,Rashtrawadi Janlok Party (Satya),59,24,30,11,21,25,27,19,17,23,29,20,20,13,14,28,56,37,22,40,28,13,27,23,14,8,17,5,13,3,1,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
6,MOHD ADIL,All India Majlis-E-Ittehadul Muslimeen,92,25,15,8,5,32,13,11,5,45,22,3,12,4,4,66,8,56,18,191,34,18,107,110,56,17,36,5,9,8,0,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
7,HEMENDER SINGH CHAUHAN,Aam Aadmi Party,5,3,9,15,4,18,6,7,2,4,3,1,6,5,4,5,4,9,6,2,5,5,6,9,2,16,8,18,9,3,0,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
8,AKRAM KHAN,Independent,9,6,8,5,5,6,8,7,2,5,3,3,5,4,4,5,2,4,2,2,2,3,4,1,6,4,3,5,3,2,0,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
9,KALLU,Independent,10,9,16,12,6,11,15,10,3,11,10,7,9,9,12,21,2,1,5,4,10,4,14,6,9,9,8,6,10,3,0,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
10,DUSHYANT KHARE,Independent,10,17,33,17,36,20,25,13,26,14,13,23,18,18,27,6,20,4,3,6,12,12,19,16,23,28,26,18,17,10,0,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
11,PRATEEK CHAUDHARY,Independent,11,12,15,18,22,7,12,5,12,5,5,10,8,14,10,10,9,6,2,6,6,6,17,11,13,8,11,9,14,4,0,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
12,NOTA,None of the Above,25,36,27,31,34,27,25,57,28,43,28,16,26,33,25,29,42,26,16,34,27,28,53,27,40,39,37,30,34,13,1,Uttar Pradesh-Naugawan Sadat,Naugawan Sadat
