O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,R-43,R-44,R-45,state_city,constituency_from_link
1,Abhishek Mishra,Samajwadi Party,3414,3078,2732,2752,1734,1989,2090,3020,2067,1699,1604,2192,1365,2614,2417,1541,2027,2636,1481,2158,2925,2195,2580,3249,3471,2175,2194,1598,2427,2587,1968,2245,1783,2320,2159,2368,2840,2507,2791,2919,2609,2574,2420,1670,314,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
2,Mohd. Jaleesh Khan,Bahujan Samaj Party,905,1113,1206,1088,592,979,759,1204,501,228,493,1033,318,962,1068,407,381,1283,618,661,1013,615,1385,1177,740,743,666,594,650,829,555,590,372,731,578,744,312,532,627,305,684,1021,1096,668,99,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
3,Rajeshwar Singh,Bharatiya Janata Party,2208,2684,2797,3544,3524,3202,3550,3264,4760,4609,4097,4045,4117,2580,3218,4077,3337,2921,3491,3419,2975,3521,3433,2292,3487,4353,4316,3902,4512,4626,4134,4485,4784,3503,3715,4070,3775,4055,3617,3605,4151,4111,3210,1642,154,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
4,RUDRA DAMAN SINGH,Indian National Congress,305,311,1344,1083,582,1820,168,228,195,193,181,242,248,165,263,494,1244,958,1243,594,399,504,773,689,297,160,154,114,156,239,155,135,162,252,211,184,152,146,177,146,170,556,662,1194,17,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
5,Satya Narayan,Communist Party of India,40,39,81,91,53,113,16,25,9,12,10,31,17,23,33,45,48,58,100,43,76,74,70,65,62,17,12,7,20,28,12,15,9,31,15,29,14,11,18,41,36,84,63,98,0,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
6,Anil Kumar Giri,Apna Bharatiya Sanatan Party,8,10,10,16,15,22,4,5,3,4,3,6,3,8,15,2,8,7,6,21,22,4,21,17,13,5,3,2,6,6,5,3,1,6,32,28,6,5,6,13,10,18,7,15,3,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
7,Arvind Singh,Rashtriya Teesara Vikalp Party,10,6,7,11,9,11,4,5,4,5,0,5,1,7,10,1,1,8,3,8,10,11,17,5,8,2,2,0,1,3,7,3,1,7,4,5,4,1,3,7,5,8,6,11,0,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
8,Chandra Shekhar Verma,Jan Adhikar Party,20,4,7,32,9,6,5,8,2,6,5,13,8,8,5,3,5,7,10,10,9,6,19,14,17,14,11,6,1,6,9,7,13,7,5,16,4,12,4,6,8,18,5,10,1,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
9,Jitendra Kumar,Bahujan Mukti Party,7,8,13,10,11,5,3,1,5,4,2,10,3,7,13,3,7,6,5,9,22,6,18,13,11,3,4,3,3,9,4,1,2,3,6,10,3,3,9,4,8,10,15,5,0,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
10,Pratap Chandra,Rashtriya Rashtrawadi Party,5,13,16,14,11,12,4,21,9,6,3,11,1,10,10,4,10,11,7,8,19,7,15,15,26,7,3,2,1,9,8,7,3,9,7,14,7,9,7,15,11,20,16,6,0,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
11,Rama Shankar Bheem,Manavtawadi Kranti Dal,5,7,13,15,10,12,5,3,0,5,2,6,1,7,6,8,7,8,10,6,9,6,14,14,16,4,1,0,3,5,3,2,0,2,5,7,3,5,8,26,18,18,7,15,0,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
12,Ramvaran Singh,Rashtriya Jatigat Aarakshan Virodhi Party,18,7,19,18,13,23,9,7,1,6,3,9,4,8,9,5,12,12,16,14,18,12,21,14,19,3,1,2,3,13,5,5,0,4,5,13,6,2,4,7,7,23,16,25,1,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
13,Rohit Shrivastava,Aam Aadmi Party,36,30,35,57,25,49,35,47,63,67,87,54,47,36,41,40,42,35,39,19,47,40,38,47,42,123,98,89,62,71,73,48,91,36,54,61,50,54,79,56,86,114,53,21,1,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
14,Sharda Pratap Shukla,Independent,27,24,26,28,14,14,10,16,12,5,3,10,3,9,18,10,11,23,15,13,24,22,25,33,25,7,4,3,2,13,10,5,3,8,7,9,12,4,9,13,17,28,16,13,3,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
15,NOTA,None of the Above,38,47,29,40,30,39,39,52,47,34,36,28,35,38,34,43,29,39,29,34,48,32,35,46,65,35,50,46,46,55,45,42,57,42,46,54,47,36,31,52,41,47,41,35,1,Uttar Pradesh-Sarojini Nagar,Sarojini Nagar
